id,quarter,avg_d,avg_u,avg_l,name
AL_AL121,2019-01-01,11.48,6.76,18.22,Durrës
AL_AL121,2019-04-01,12.88,6.86,23.03,Durrës
AL_AL121,2019-07-01,13.52,6.8,22.71,Durrës
AL_AL121,2019-10-01,14.85,6.6,18.45,Durrës
AL_AL121,2020-01-01,15.86,9.89,18.31,Durrës
AL_AL121,2020-04-01,16.8,14.16,17.79,Durrës
AL_AL121,2020-07-01,18.75,14.06,14.86,Durrës
AL_AL121,2020-10-01,19.92,12.51,15.79,Durrës
AL_AL121,2021-01-01,24.69,14.51,11.68,Durrës
AL_AL121,2021-04-01,29.58,17.14,10.77,Durrës
AL_AL121,2021-07-01,31.2,16.47,11.13,Durrës
AL_AL121,2021-10-01,31.77,14.65,11.37,Durrës
AL_AL121,2022-01-01,33.57,15.02,10.91,Durrës
AL_AL121,2022-04-01,37.19,17.27,10.52,Durrës
AL_AL154,2019-01-01,19.21,10.14,21.69,Shkodër
AL_AL154,2019-04-01,20.68,11.17,27.59,Shkodër
AL_AL154,2019-07-01,21.31,10.45,24.1,Shkodër
AL_AL154,2019-10-01,23.74,13.18,18.63,Shkodër
AL_AL154,2020-01-01,24.93,13.81,17.51,Shkodër
AL_AL154,2020-04-01,24.73,12.18,16.66,Shkodër
AL_AL154,2020-07-01,27.16,15.24,14.41,Shkodër
AL_AL154,2020-10-01,32.18,17.38,14.23,Shkodër
AL_AL154,2021-01-01,35.71,19.87,13.03,Shkodër
AL_AL154,2021-04-01,39.02,19.72,14.56,Shkodër
AL_AL154,2021-07-01,34.92,18.09,14.74,Shkodër
AL_AL154,2021-10-01,40.36,20.1,13.82,Shkodër
AL_AL154,2022-01-01,49.25,26.43,10.23,Shkodër
AL_AL154,2022-04-01,61.24,30.82,8.48,Shkodër
AL_AL213,2019-01-01,11.32,6.3,18.4,Elbasan
AL_AL213,2019-04-01,11.06,5.72,21.28,Elbasan
AL_AL213,2019-07-01,12.27,6.43,29.47,Elbasan
AL_AL213,2019-10-01,13.05,6.71,20.16,Elbasan
AL_AL213,2020-01-01,12.74,6.22,23.86,Elbasan
AL_AL213,2020-04-01,15.03,6.47,19.15,Elbasan
AL_AL213,2020-07-01,17.95,7.71,16.46,Elbasan
AL_AL213,2020-10-01,20.48,8.98,19.43,Elbasan
AL_AL213,2021-01-01,19.99,10.89,16.53,Elbasan
AL_AL213,2021-04-01,27.15,11.25,10.32,Elbasan
AL_AL213,2021-07-01,28.22,10.83,11.88,Elbasan
AL_AL213,2021-10-01,28.72,13.6,13.78,Elbasan
AL_AL213,2022-01-01,29.02,15.24,13.95,Elbasan
AL_AL213,2022-04-01,34.8,18.75,9.28,Elbasan
AL_AL221,2019-01-01,13.41,7.44,18.32,Kamëz
AL_AL221,2019-04-01,17.32,8.5,18.57,Kamëz
AL_AL221,2019-07-01,19.2,9.28,14.13,Kamëz
AL_AL221,2019-10-01,20.65,11.87,14.12,Kamëz
AL_AL221,2020-01-01,20.24,11.99,14.11,Kamëz
AL_AL221,2020-04-01,23.62,14.46,11.63,Kamëz
AL_AL221,2020-07-01,24.96,14.86,9.92,Kamëz
AL_AL221,2020-10-01,27.94,15.43,9.21,Kamëz
AL_AL221,2021-01-01,29.53,15.19,9.09,Kamëz
AL_AL221,2021-04-01,36.03,21.06,7.97,Kamëz
AL_AL221,2021-07-01,34.99,19.86,6.94,Kamëz
AL_AL221,2021-10-01,36.88,18.77,9.25,Kamëz
AL_AL221,2022-01-01,40.85,22.18,9.04,Kamëz
AL_AL221,2022-04-01,41.73,24.78,6.52,Kamëz
AL_AL224,2019-01-01,20.03,8.17,25.7,Tiranë
AL_AL224,2019-04-01,22.01,8.57,23.32,Tiranë
AL_AL224,2019-07-01,22.91,9.09,21.78,Tiranë
AL_AL224,2019-10-01,24.85,10.06,19.81,Tiranë
AL_AL224,2020-01-01,25.24,9.98,18.27,Tiranë
AL_AL224,2020-04-01,25.55,9.54,19.08,Tiranë
AL_AL224,2020-07-01,29.49,10.72,14.5,Tiranë
AL_AL224,2020-10-01,32.53,10.95,15.65,Tiranë
AL_AL224,2021-01-01,38.06,12.65,14.23,Tiranë
AL_AL224,2021-04-01,43.82,13.34,13.99,Tiranë
AL_AL224,2021-07-01,45.81,13.88,14.65,Tiranë
AL_AL224,2021-10-01,49.99,14.94,14.77,Tiranë
AL_AL224,2022-01-01,56.19,18.37,12.7,Tiranë
AL_AL224,2022-04-01,57.88,19.94,9.81,Tiranë
AL_AL322,2019-01-01,9.76,3.85,20.51,Fier
AL_AL322,2019-04-01,10.64,4.81,21.99,Fier
AL_AL322,2019-07-01,10.25,5.12,36.15,Fier
AL_AL322,2019-10-01,10.84,5.11,18.36,Fier
AL_AL322,2020-01-01,11.28,6.69,24.14,Fier
AL_AL322,2020-04-01,13.47,7.32,16.84,Fier
AL_AL322,2020-07-01,17.03,8.84,16.26,Fier
AL_AL322,2020-10-01,18.15,9.96,16.95,Fier
