id,name,quarter,avg_d,avg_u,avg_l,lau_name,country,nuts_2,nuts_3,population
AL_AL121,Durrës,2019-01-01,11.48,6.76,18.22,Durrës,AL,AL01,AL012,175110
AL_AL121,Durrës,2019-04-01,12.88,6.86,23.03,Durrës,AL,AL01,AL012,175110
AL_AL121,Durrës,2019-07-01,13.52,6.8,22.71,Durrës,AL,AL01,AL012,175110
AL_AL121,Durrës,2019-10-01,14.85,6.6,18.45,Durrës,AL,AL01,AL012,175110
AL_AL121,Durrës,2020-01-01,15.86,9.89,18.31,Durrës,AL,AL01,AL012,175110
AL_AL121,Durrës,2020-04-01,16.8,14.16,17.79,Durrës,AL,AL01,AL012,175110
AL_AL121,Durrës,2020-07-01,18.75,14.06,14.86,Durrës,AL,AL01,AL012,175110
AL_AL121,Durrës,2020-10-01,19.92,12.51,15.79,Durrës,AL,AL01,AL012,175110
AL_AL121,Durrës,2021-01-01,24.69,14.51,11.68,Durrës,AL,AL01,AL012,175110
AL_AL121,Durrës,2021-04-01,29.58,17.14,10.77,Durrës,AL,AL01,AL012,175110
AL_AL121,Durrës,2021-07-01,31.2,16.47,11.13,Durrës,AL,AL01,AL012,175110
AL_AL121,Durrës,2021-10-01,31.77,14.65,11.37,Durrës,AL,AL01,AL012,175110
AL_AL121,Durrës,2022-01-01,33.57,15.02,10.91,Durrës,AL,AL01,AL012,175110
AL_AL154,Shkodër,2019-01-01,19.21,10.14,21.69,Shkodër,AL,AL01,AL015,135612
AL_AL154,Shkodër,2019-04-01,20.68,11.17,27.59,Shkodër,AL,AL01,AL015,135612
AL_AL154,Shkodër,2019-07-01,21.31,10.45,24.1,Shkodër,AL,AL01,AL015,135612
AL_AL154,Shkodër,2019-10-01,23.74,13.18,18.63,Shkodër,AL,AL01,AL015,135612
AL_AL154,Shkodër,2020-01-01,24.93,13.81,17.51,Shkodër,AL,AL01,AL015,135612
AL_AL154,Shkodër,2020-04-01,24.73,12.18,16.66,Shkodër,AL,AL01,AL015,135612
AL_AL154,Shkodër,2020-07-01,27.16,15.24,14.41,Shkodër,AL,AL01,AL015,135612
AL_AL154,Shkodër,2020-10-01,32.18,17.38,14.23,Shkodër,AL,AL01,AL015,135612
AL_AL154,Shkodër,2021-01-01,35.71,19.87,13.03,Shkodër,AL,AL01,AL015,135612
AL_AL154,Shkodër,2021-04-01,39.02,19.72,14.56,Shkodër,AL,AL01,AL015,135612
AL_AL154,Shkodër,2021-07-01,34.92,18.09,14.74,Shkodër,AL,AL01,AL015,135612
AL_AL154,Shkodër,2021-10-01,40.36,20.1,13.82,Shkodër,AL,AL01,AL015,135612
AL_AL154,Shkodër,2022-01-01,49.25,26.43,10.23,Shkodër,AL,AL01,AL015,135612
AL_AL213,Elbasan,2019-01-01,11.32,6.3,18.4,Elbasan,AL,AL02,AL021,141714
AL_AL213,Elbasan,2019-04-01,11.06,5.72,21.28,Elbasan,AL,AL02,AL021,141714
AL_AL213,Elbasan,2019-07-01,12.27,6.43,29.47,Elbasan,AL,AL02,AL021,141714
AL_AL213,Elbasan,2019-10-01,13.05,6.71,20.16,Elbasan,AL,AL02,AL021,141714
AL_AL213,Elbasan,2020-01-01,12.74,6.22,23.86,Elbasan,AL,AL02,AL021,141714
AL_AL213,Elbasan,2020-04-01,15.03,6.47,19.15,Elbasan,AL,AL02,AL021,141714
AL_AL213,Elbasan,2020-07-01,17.95,7.71,16.46,Elbasan,AL,AL02,AL021,141714
