id,quarter,avg_d,avg_u,avg_l,name
AL011,2019-01-01,10.71,5.88,44.65,Dibër
AL011,2019-04-01,9.75,6.04,43.9,Dibër
AL011,2019-07-01,12.5,8.33,31.44,Dibër
AL011,2019-10-01,14.06,10.56,30.4,Dibër
AL011,2020-01-01,11.97,8.82,36.93,Dibër
AL011,2020-04-01,13.21,9.47,27.6,Dibër
AL011,2020-07-01,17.58,13.68,21.6,Dibër
AL011,2020-10-01,22.01,18.53,19.7,Dibër
AL011,2021-01-01,20.69,17.83,23.16,Dibër
AL011,2021-04-01,23.7,17.09,20.62,Dibër
AL011,2021-07-01,23.87,17.05,16.57,Dibër
AL011,2021-10-01,27.37,18.48,27.81,Dibër
AL011,2022-01-01,25.23,19.83,27.44,Dibër
AL011,2022-04-01,26.73,21.38,20.86,Dibër
AL012,2019-01-01,9.73,5.68,22.47,Durrës
AL012,2019-04-01,11.47,6.05,24.63,Durrës
AL012,2019-07-01,12.49,6.74,22.84,Durrës
AL012,2019-10-01,13.61,6.52,19.94,Durrës
AL012,2020-01-01,14.18,9.08,21.01,Durrës
AL012,2020-04-01,14.91,12.39,19.9,Durrës
AL012,2020-07-01,17.03,12.74,15.92,Durrës
AL012,2020-10-01,18.28,11.77,17.37,Durrës
AL012,2021-01-01,22.55,13.62,13.32,Durrës
AL012,2021-04-01,27.2,16.09,11.62,Durrës
AL012,2021-07-01,28.2,15.28,12.09,Durrës
AL012,2021-10-01,27.64,13.68,11.89,Durrës
AL012,2022-01-01,31.99,15.05,11.45,Durrës
AL012,2022-04-01,35.64,17.23,10.55,Durrës
AL013,2019-01-01,5.32,1.92,64.78,Kukës
AL013,2019-04-01,6.73,2.32,60.02,Kukës
AL013,2019-07-01,6.74,2.9,66.94,Kukës
AL013,2019-10-01,7.34,3.31,56.53,Kukës
AL013,2020-01-01,10.1,5.58,50.63,Kukës
AL013,2020-04-01,10.21,5.22,45.34,Kukës
AL013,2020-07-01,13.93,7.23,40.78,Kukës
AL013,2020-10-01,13.45,8.18,36.4,Kukës
AL013,2021-01-01,14.01,7.98,32.21,Kukës
AL013,2021-04-01,16.77,9.4,43.02,Kukës
AL013,2021-07-01,17.45,10.61,60.69,Kukës
AL013,2021-10-01,19.89,12.5,35.73,Kukës
AL013,2022-01-01,20.65,12.98,46.05,Kukës
AL013,2022-04-01,17.44,9.75,37.63,Kukës
AL014,2019-01-01,9.12,5.89,32.46,Lezhë
AL014,2019-04-01,9.12,5.45,33.4,Lezhë
AL014,2019-07-01,12.01,6.37,29.79,Lezhë
AL014,2019-10-01,13.04,7.65,24.51,Lezhë
AL014,2020-01-01,15.08,7.76,25.11,Lezhë
AL014,2020-04-01,15.4,7.83,26.44,Lezhë
AL014,2020-07-01,18.89,10.22,19.47,Lezhë
AL014,2020-10-01,19.2,10.19,19.43,Lezhë
AL014,2021-01-01,21.01,11.88,17.83,Lezhë
AL014,2021-04-01,26.07,14.01,16.94,Lezhë
AL014,2021-07-01,26.52,14.18,13.26,Lezhë
AL014,2021-10-01,27.1,13.4,14.82,Lezhë
AL014,2022-01-01,32.57,17.35,20.64,Lezhë
AL014,2022-04-01,38.82,19.59,10.82,Lezhë
AL015,2019-01-01,16.35,9.25,24.39,Shkodër
AL015,2019-04-01,17.05,10.19,28.56,Shkodër
AL015,2019-07-01,17.69,9.38,24.81,Shkodër
AL015,2019-10-01,19.85,11.81,21.12,Shkodër
AL015,2020-01-01,21.21,13.44,19.47,Shkodër
AL015,2020-04-01,21.82,13.3,17.36,Shkodër
AL015,2020-07-01,23.15,14.63,17.38,Shkodër
AL015,2020-10-01,27.93,18.44,16.02,Shkodër
AL015,2021-01-01,32.24,21.24,13.89,Shkodër
AL015,2021-04-01,35.87,21.45,15.61,Shkodër
AL015,2021-07-01,32.92,20.24,15.91,Shkodër
AL015,2021-10-01,38.81,22.55,14.45,Shkodër
AL015,2022-01-01,44.92,27.25,12.01,Shkodër
AL015,2022-04-01,55.87,29.8,8.94,Shkodër
AL021,2019-01-01,11.39,6.5,20.07,Elbasan
AL021,2019-04-01,12.63,7.9,21.08,Elbasan
AL021,2019-07-01,12.71,8.14,28.95,Elbasan
AL021,2019-10-01,13.17,8.31,21.11,Elbasan
AL021,2020-01-01,13.02,8.07,25.52,Elbasan
AL021,2020-04-01,14.78,8.24,19.62,Elbasan
AL021,2020-07-01,17.23,10.25,17.34,Elbasan
AL021,2020-10-01,19.66,11.21,18.02,Elbasan
AL021,2021-01-01,20.3,13.46,22.67,Elbasan
AL021,2021-04-01,26.2,14.71,14.01,Elbasan
AL021,2021-07-01,26.91,14.55,15.91,Elbasan
AL021,2021-10-01,28.6,16.65,15.27,Elbasan
AL021,2022-01-01,30.61,19.81,15.95,Elbasan
AL021,2022-04-01,34.41,21.42,10.89,Elbasan
AL022,2019-01-01,18.93,8.09,24.71,Tiranë
AL022,2019-04-01,21.15,8.88,22.51,Tiranë
AL022,2019-07-01,22.27,9.51,20.64,Tiranë
AL022,2019-10-01,23.97,10.19,19.38,Tiranë
AL022,2020-01-01,24.48,10.21,17.96,Tiranë
AL022,2020-04-01,25.02,10.23,18.34,Tiranë
AL022,2020-07-01,28.16,11.71,14.02,Tiranë
AL022,2020-10-01,31.55,11.47,15.14,Tiranë
AL022,2021-01-01,36.76,12.97,13.83,Tiranë
AL022,2021-04-01,42.18,14.21,13.27,Tiranë
AL022,2021-07-01,43.14,14.75,13.55,Tiranë
AL022,2021-10-01,48.17,15.33,14.17,Tiranë
AL022,2022-01-01,54.24,18.51,12.38,Tiranë
AL022,2022-04-01,54.75,20.27,9.71,Tiranë
AL031,2019-01-01,11.39,5.97,26.08,Berat
AL031,2019-04-01,10.08,6.16,32.42,Berat
AL031,2019-07-01,11.2,6.62,32.74,Berat
AL031,2019-10-01,11.31,5.92,28.96,Berat
AL031,2020-01-01,10.58,5.67,31.09,Berat
AL031,2020-04-01,12.81,6.39,28.63,Berat
AL031,2020-07-01,12.51,6.24,25.98,Berat
AL031,2020-10-01,16.96,8.17,22.23,Berat
AL031,2021-01-01,18.01,7.96,20.69,Berat
AL031,2021-04-01,22.77,10.22,22.07,Berat
AL031,2021-07-01,23.67,11.18,19.48,Berat
AL031,2021-10-01,27.69,13.34,17.02,Berat
AL031,2022-01-01,27.13,15.17,11.3,Berat
AL031,2022-04-01,29.38,18.22,13.15,Berat
AL032,2019-01-01,11.97,7.68,25.58,Fier
AL032,2019-04-01,12.05,7.53,23.64,Fier
AL032,2019-07-01,12.7,8.06,30.94,Fier
AL032,2019-10-01,14.54,10.58,20,Fier
AL032,2020-01-01,17.16,14.38,20.64,Fier
AL032,2020-04-01,17.68,13.29,18.85,Fier
AL032,2020-07-01,19.76,14.97,16.01,Fier
AL032,2020-10-01,21.39,15.73,16.38,Fier
AL032,2021-01-01,24.04,17.34,16.57,Fier
AL032,2021-04-01,30.99,20.94,13.08,Fier
AL032,2021-07-01,31.6,20.42,13.61,Fier
AL032,2021-10-01,32.62,21.22,12.72,Fier
AL032,2022-01-01,31.19,19.19,13.09,Fier
AL032,2022-04-01,30.43,20.06,11.66,Fier
AL033,2019-01-01,7.9,2.32,45.88,Gjirokastër
AL033,2019-04-01,7.67,2.38,40.12,Gjirokastër
AL033,2019-07-01,11.79,4.28,34.92,Gjirokastër
AL033,2019-10-01,8.97,3.49,35.57,Gjirokastër
AL033,2020-01-01,8.63,3.05,37.37,Gjirokastër
AL033,2020-04-01,7.74,2.77,35.18,Gjirokastër
AL033,2020-07-01,10.54,4.53,23.78,Gjirokastër
AL033,2020-10-01,10.85,4.4,27.34,Gjirokastër
AL033,2021-01-01,13.04,6.88,29.58,Gjirokastër
AL033,2021-04-01,15.52,7.73,26.5,Gjirokastër
AL033,2021-07-01,14.86,6.41,23.27,Gjirokastër
AL033,2021-10-01,16.26,7.19,17.83,Gjirokastër
AL033,2022-01-01,19.35,10.72,19.58,Gjirokastër
AL033,2022-04-01,19.9,12.06,18.17,Gjirokastër
AL034,2019-01-01,12.87,6.79,29.59,Korcë
AL034,2019-04-01,13.46,8.08,42.02,Korcë
AL034,2019-07-01,13.22,7.45,36.17,Korcë
AL034,2019-10-01,16.05,11.13,27.69,Korcë
AL034,2020-01-01,17.75,12.66,25.53,Korcë
AL034,2020-04-01,19.18,13.38,24.44,Korcë
AL034,2020-07-01,19.8,14.27,21.42,Korcë
AL034,2020-10-01,22.45,16.54,25.17,Korcë
AL034,2021-01-01,23.16,16.1,25.25,Korcë
AL034,2021-04-01,26.3,16.83,18.08,Korcë
AL034,2021-07-01,26.65,16.22,20.37,Korcë
AL034,2021-10-01,31.82,19.34,20.25,Korcë
AL034,2022-01-01,35.71,22.52,15.51,Korcë
AL034,2022-04-01,35.88,24.83,14.31,Korcë
AL035,2019-01-01,19.94,10.85,24.65,Vlorë
AL035,2019-04-01,18.11,10.75,25.34,Vlorë
AL035,2019-07-01,17.23,9.84,32.51,Vlorë
AL035,2019-10-01,16.35,7.92,31.21,Vlorë
AL035,2020-01-01,17.57,8.13,22.41,Vlorë
AL035,2020-04-01,18.16,8.91,21.54,Vlorë
AL035,2020-07-01,20.71,10.99,16.95,Vlorë
AL035,2020-10-01,23.23,9.15,18,Vlorë
AL035,2021-01-01,27.34,12.72,16.31,Vlorë
AL035,2021-04-01,28.25,13.6,14.45,Vlorë
AL035,2021-07-01,26.89,13.93,13.45,Vlorë
AL035,2021-10-01,31.67,11.42,13.62,Vlorë
